status_id,text
1237469802496757762,"""I was surprised. Kind of in shock."" - @TerrapinHoops' Aaron Wiggins, @B1GMBBall's Sixth Man of the Year as voted by the coaches. https://t.co/gFlsXecCpo"
1236720450912296962,Anytime @TerrapinHoops fans see @AnthonyCowanJr: https://t.co/uVSv5h0V6B
1236867314521341952,MARYLAND COMING FOR BLOOD! 😂🤯👏🏼
1233959869037907968,This may discredit everything @kenpomeroy does. Bo Boroski was HORRIBLE tonight like most nights.
1236739149497065473,"“Just to come back and do something that’s never happened in Maryland history…it means everything.” 

@AnthonyCowanJr joined @TheAndyKatz after @TerrapinHoops secured a share of the Big Ten regular-season championship at his final home game. https://t.co/foNuqHvTWV"
1236748375069949953,@MartyMcFly34 @TerrapinHoops wait until first weekend of Tourney
1233943867428347904,"With 11:41 to go, it's another media timeout. Spartans lead the first place Terps 61-43."
1236093313003991047,"🚨 BUBBA BLAST 🚨

His sixth hit of the day ties the school record and leaves the ballpark 🤯

B8 | #Terps 14, Bulldogs 3

#DirtyTerps https://t.co/dYLshg4Rxu"
1235795699146596352,"Johns Hopkins will host its NCAA Division III 1st and 2nd round games in an empty arena, after recent coronavirus cases in Maryland. @NBC12 

https://t.co/gA8cJ6qpvb"
1233918846584655872,Tune In to @TerrapinHoops vs Michigan State at 8pm we goin up again tonight 🌊🏄🏽‍♂️🌎
1238131325770567685,@CoachTurgeon @TerrapinHoops Isn't everyone already there onsite?
1233955457196273666,@TerrapinHoops @sotoshuffle My school beat duke tho https://t.co/ZiXzkZDOS7
1236698379343794177,@CBBonFOX @JalenSmith2000 @TerrapinHoops 🐐 https://t.co/v1tOkhkqJJ
1238165707298418690,Darryl Morsell's game winning 3 was one of the most clutch shots I've ever seen. And there was nothing better than watching our players celebrate on our homecourt after winning the BIG10. Thank you Terp Nation!
1236783497697779714,"Maryland men’s: Big Ten champs

Maryland women’s: Big Ten champs

Big Ten basketball is different in College Park"
1233934614483349504,"If you don't like that, then you don't like Maryland Basketball™! #killme"
1235704592274354176,"How did NC State ever beat the #1 team in the hardest conference in the history of college basketball?

tHE BIg TEn Is sO gOOd"
1238287174967201796,"My dad took this photo of me after Maryland men’s basketball secured a share of the Big Ten title last week.

Didn’t know it at the time, but that would be my final time covering a Terps game as a student. I loved this job. Loved representing @thedbk. Thanks for following along. https://t.co/h5AH0b8nYE"
1233921618499579908,"I AM CURRENTLY AVAILABLE FOR THE NEXT TWO HOURS!!!
#TerpNation 
LET'S GO TERPS!!!"
